,body,end,name,party,state,yrs
56,senate,"january 3, 2021",lindsey graham,republican,south carolina,14
57,senate,"january 3, 2023",lisa murkowski,republican,alaska,14
58,senate,"january 3, 2023",maggie hassan,democratic,new hampshire,0
59,senate,"january 3, 2023",marco rubio,republican,florida,6
60,senate,"january 3, 2019",maria cantwell,democratic,washington,16
61,senate,"january 3, 2021",mark warner,democratic,virginia,8
62,senate,"january 3, 2019",martin heinrich,democratic,new mexico,4
63,senate,"january 3, 2019",mazie k. hirono,democratic,hawaii,4
64,senate,"january 3, 2023",michael bennet,democratic,colorado,8
65,senate,"january 3, 2023",mike crapo,republican,idaho,18
66,senate,"january 3, 2021",mike enzi,republican,wyoming,20
67,senate,"january 3, 2023",mike lee,republican,utah,6
68,senate,"january 3, 2021",mike rounds,republican,south dakota,2
69,senate,"january 3, 2021",mitch mcconnell,republican,kentucky,32
70,senate,"january 3, 2019",orrin hatch,republican,utah,40
71,senate,"january 3, 2021",pat roberts,republican,kansas,20
72,senate,"january 3, 2023",pat toomey,republican,pennsylvania,6
73,senate,"january 3, 2023",patrick leahy,democratic,vermont,42
74,senate,"january 3, 2023",patty murray,democratic,washington,24
75,senate,"january 3, 2023",rand paul,republican,kentucky,6
76,senate,"january 3, 2023",richard blumenthal,democratic,connecticut,6
77,senate,"january 3, 2023",richard burr,republican,north carolina,12
78,senate,"january 3, 2023",richard shelby,republican,alabama,30
79,senate,"january 3, 2023",rob portman,republican,ohio,6
80,senate,"january 3, 2019",roger wicker,republican,mississippi,10
81,senate,"january 3, 2023",ron johnson,republican,wisconsin,6
82,senate,"january 3, 2023",ron wyden,democratic,oregon,21
83,senate,"january 3, 2023",roy blunt,republican,missouri,6
84,senate,"january 3, 2019",sheldon whitehouse,democratic,rhode island,10
85,senate,"january 3, 2021",shelley moore capito,republican,west virginia,2
86,senate,"january 3, 2019",sherrod brown,democratic,ohio,10
87,senate,"january 3, 2021",steve daines,republican,montana,2
88,senate,"january 3, 2021",susan collins,republican,maine,20
89,senate,"january 3, 2019",tammy baldwin,democratic,wisconsin,4
90,senate,"january 3, 2023",tammy duckworth,democratic,illinois,0
91,senate,"january 3, 2019",ted cruz,republican,texas,4
92,senate,"january 3, 2021",thad cochran,republican,mississippi,39
93,senate,"january 3, 2021",thom tillis,republican,north carolina,2
94,senate,"january 3, 2019",tim kaine,democratic,virginia,4
95,senate,"january 3, 2023",tim scott,republican,south carolina,4
96,senate,"january 3, 2023",todd c. young,republican,indiana,0
97,senate,"january 3, 2019",tom carper,democratic,delaware,16
98,senate,"january 3, 2021",tom cotton,republican,arkansas,2
99,senate,"january 3, 2021",tom udall,democratic,new mexico,8
100,house,"january 3, 2019",adam kinzinger,republican,"illinois, district 16",6
101,house,"january 3, 2019",adam schiff,democratic,"california, district 28",16
102,house,"january 3, 2019",adam smith,democratic,"washington, district 9",20
103,house,"january 3, 2019",adrian smith,republican,"nebraska, district 3",10
